publication_date,date,variable,N
2021-01-26,2020-07-03,Number of deaths,0
2021-01-26,2020-07-04,Number of cases,2
2021-01-26,2020-07-04,Number of tests,2645
2021-01-26,2020-07-04,Number of deaths,0
2021-01-26,2020-07-05,Number of cases,3
2021-01-26,2020-07-05,Number of tests,1314
2021-01-26,2020-07-05,Number of deaths,0
2021-01-26,2020-07-06,Number of cases,8
2021-01-26,2020-07-06,Number of tests,2239
2021-01-26,2020-07-06,Number of deaths,0
2021-01-26,2020-07-07,Number of cases,3
2021-01-26,2020-07-07,Number of tests,4548
2021-01-26,2020-07-07,Number of deaths,0
2021-01-26,2020-07-08,Number of cases,9
2021-01-26,2020-07-08,Number of tests,4400
2021-01-26,2020-07-08,Number of deaths,0
2021-01-26,2020-07-09,Number of cases,8
2021-01-26,2020-07-09,Number of tests,4876
2021-01-26,2020-07-09,Number of deaths,0
2021-01-26,2020-07-10,Number of cases,7
2021-01-26,2020-07-10,Number of tests,4389
2021-01-26,2020-07-10,Number of deaths,0
2021-01-26,2020-07-11,Number of cases,0
2021-01-26,2020-07-11,Number of tests,3296
2021-01-26,2020-07-11,Number of deaths,0
2021-01-26,2020-07-12,Number of cases,4
2021-01-26,2020-07-12,Number of tests,2332
2021-01-26,2020-07-12,Number of deaths,0
2021-01-26,2020-07-13,Number of cases,6
2021-01-26,2020-07-13,Number of tests,3102
2021-01-26,2020-07-13,Number of deaths,0
2021-01-26,2020-07-14,Number of cases,5
2021-01-26,2020-07-14,Number of tests,5351
2021-01-26,2020-07-14,Number of deaths,0
2021-01-26,2020-07-15,Number of cases,5
2021-01-26,2020-07-15,Number of tests,5431
2021-01-26,2020-07-15,Number of deaths,0
2021-01-26,2020-07-16,Number of cases,9
2021-01-26,2020-07-16,Number of tests,4972
2021-01-26,2020-07-16,Number of deaths,0
2021-01-26,2020-07-17,Number of cases,6
2021-01-26,2020-07-17,Number of tests,5108
2021-01-26,2020-07-17,Number of deaths,0
2021-01-26,2020-07-18,Number of cases,7
2021-01-26,2020-07-18,Number of tests,4131
2021-01-26,2020-07-18,Number of deaths,0
2021-01-26,2020-07-19,Number of cases,5
2021-01-26,2020-07-19,Number of tests,2136
2021-01-26,2020-07-19,Number of deaths,0
2021-01-26,2020-07-20,Number of cases,12
2021-01-26,2020-07-20,Number of tests,3296
2021-01-26,2020-07-20,Number of deaths,1
2021-01-26,2020-07-21,Number of cases,8
2021-01-26,2020-07-21,Number of tests,5462
2021-01-26,2020-07-21,Number of deaths,0
2021-01-26,2020-07-22,Number of cases,11
2021-01-26,2020-07-22,Number of tests,5042
2021-01-26,2020-07-22,Number of deaths,0
2021-01-26,2020-07-23,Number of cases,3
2021-01-26,2020-07-23,Number of tests,5477
2021-01-26,2020-07-23,Number of deaths,0
2021-01-26,2020-07-24,Number of cases,10
2021-01-26,2020-07-24,Number of tests,4752
2021-01-26,2020-07-24,Number of deaths,0
2021-01-26,2020-07-25,Number of cases,4
2021-01-26,2020-07-25,Number of tests,3760
2021-01-26,2020-07-25,Number of deaths,0
2021-01-26,2020-07-26,Number of cases,8
2021-01-26,2020-07-26,Number of tests,2285
2021-01-26,2020-07-26,Number of deaths,0
2021-01-26,2020-07-27,Number of cases,12
2021-01-26,2020-07-27,Number of tests,3403
2021-01-26,2020-07-27,Number of deaths,0
2021-01-26,2020-07-28,Number of cases,9
2021-01-26,2020-07-28,Number of tests,5743
2021-01-26,2020-07-28,Number of deaths,1
2021-01-26,2020-07-29,Number of cases,12
2021-01-26,2020-07-29,Number of tests,5539
2021-01-26,2020-07-29,Number of deaths,1
2021-01-26,2020-07-30,Number of cases,8
2021-01-26,2020-07-30,Number of tests,5635
2021-01-26,2020-07-30,Number of deaths,0
2021-01-26,2020-07-31,Number of cases,18
2021-01-26,2020-07-31,Number of tests,5555
2021-01-26,2020-07-31,Number of deaths,0
2021-01-26,2020-08-01,Number of cases,15
2021-01-26,2020-08-01,Number of tests,4198
2021-01-26,2020-08-01,Number of deaths,0
2021-01-26,2020-08-02,Number of cases,10
2021-01-26,2020-08-02,Number of tests,4568
2021-01-26,2020-08-02,Number of deaths,0
2021-01-26,2020-08-03,Number of cases,35
2021-01-26,2020-08-03,Number of tests,5250
2021-01-26,2020-08-03,Number of deaths,1
2021-01-26,2020-08-04,Number of cases,22
2021-01-26,2020-08-04,Number of tests,6819
2021-01-26,2020-08-04,Number of deaths,0
2021-01-26,2020-08-05,Number of cases,29
2021-01-26,2020-08-05,Number of tests,8536
2021-01-26,2020-08-05,Number of deaths,0
2021-01-26,2020-08-06,Number of cases,22
2021-01-26,2020-08-06,Number of tests,7097
2021-01-26,2020-08-06,Number of deaths,0
2021-01-26,2020-08-07,Number of cases,17
2021-01-26,2020-08-07,Number of tests,8815
2021-01-26,2020-08-07,Number of deaths,0
2021-01-26,2020-08-08,Number of cases,9
2021-01-26,2020-08-08,Number of tests,6327
2021-01-26,2020-08-08,Number of deaths,0
2021-01-26,2020-08-09,Number of cases,35
2021-01-26,2020-08-09,Number of tests,5942
2021-01-26,2020-08-09,Number of deaths,0
2021-01-26,2020-08-10,Number of cases,15
2021-01-26,2020-08-10,Number of tests,7260
2021-01-26,2020-08-10,Number of deaths,0
2021-01-26,2020-08-11,Number of cases,28
2021-01-26,2020-08-11,Number of tests,10638
2021-01-26,2020-08-11,Number of deaths,0
2021-01-26,2020-08-12,Number of cases,27
2021-01-26,2020-08-12,Number of tests,11597
2021-01-26,2020-08-12,Number of deaths,0
2021-01-26,2020-08-13,Number of cases,21
2021-01-26,2020-08-13,Number of tests,12107
2021-01-26,2020-08-13,Number of deaths,0
2021-01-26,2020-08-14,Number of cases,27
2021-01-26,2020-08-14,Number of tests,9621
2021-01-26,2020-08-14,Number of deaths,0
2021-01-26,2020-08-15,Number of cases,14
2021-01-26,2020-08-15,Number of tests,10354
2021-01-26,2020-08-15,Number of deaths,0
2021-01-26,2020-08-16,Number of cases,43
2021-01-26,2020-08-16,Number of tests,10958
2021-01-26,2020-08-16,Number of deaths,1
2021-01-26,2020-08-17,Number of cases,27
2021-01-26,2020-08-17,Number of tests,10919
2021-01-26,2020-08-17,Number of deaths,0
2021-01-26,2020-08-18,Number of cases,39
2021-01-26,2020-08-18,Number of tests,12886
2021-01-26,2020-08-18,Number of deaths,0
2021-01-26,2020-08-19,Number of cases,47
2021-01-26,2020-08-19,Number of tests,17142
2021-01-26,2020-08-19,Number of deaths,0
2021-01-26,2020-08-20,Number of cases,27
2021-01-26,2020-08-20,Number of tests,15969
2021-01-26,2020-08-20,Number of deaths,0
2021-01-26,2020-08-21,Number of cases,25
2021-01-26,2020-08-21,Number of tests,16150
2021-01-26,2020-08-21,Number of deaths,0
2021-01-26,2020-08-22,Number of cases,16
2021-01-26,2020-08-22,Number of tests,12831
2021-01-26,2020-08-22,Number of deaths,0
2021-01-26,2020-08-23,Number of cases,10
2021-01-26,2020-08-23,Number of tests,12725
2021-01-26,2020-08-23,Number of deaths,0
2021-01-26,2020-08-24,Number of cases,17
2021-01-26,2020-08-24,Number of tests,14506
2021-01-26,2020-08-24,Number of deaths,0
2021-01-26,2020-08-25,Number of cases,15
2021-01-26,2020-08-25,Number of tests,16150
2021-01-26,2020-08-25,Number of deaths,0
2021-01-26,2020-08-26,Number of cases,20
2021-01-26,2020-08-26,Number of tests,17490
2021-01-26,2020-08-26,Number of deaths,0
2021-01-26,2020-08-27,Number of cases,32
2021-01-26,2020-08-27,Number of tests,17326
2021-01-26,2020-08-27,Number of deaths,0
2021-01-26,2020-08-28,Number of cases,35
2021-01-26,2020-08-28,Number of tests,14166
2021-01-26,2020-08-28,Number of deaths,0
2021-01-26,2020-08-29,Number of cases,19
2021-01-26,2020-08-29,Number of tests,15175
2021-01-26,2020-08-29,Number of deaths,0
2021-01-26,2020-08-30,Number of cases,18
2021-01-26,2020-08-30,Number of tests,13341
2021-01-26,2020-08-30,Number of deaths,0
2021-01-26,2020-08-31,Number of cases,48
2021-01-26,2020-08-31,Number of tests,13116
2021-01-26,2020-08-31,Number of deaths,1
2021-01-26,2020-09-01,Number of cases,29
2021-01-26,2020-09-01,Number of tests,14797
2021-01-26,2020-09-01,Number of deaths,1
2021-01-26,2020-09-02,Number of cases,26
2021-01-26,2020-09-02,Number of tests,17899
2021-01-26,2020-09-02,Number of deaths,0
2021-01-26,2020-09-03,Number of cases,35
2021-01-26,2020-09-03,Number of tests,16872
2021-01-26,2020-09-03,Number of deaths,0
2021-01-26,2020-09-04,Number of cases,42
2021-01-26,2020-09-04,Number of tests,16079
2021-01-26,2020-09-04,Number of deaths,1
2021-01-26,2020-09-05,Number of cases,22
2021-01-26,2020-09-05,Number of tests,14169
2021-01-26,2020-09-05,Number of deaths,0
2021-01-26,2020-09-06,Number of cases,33
2021-01-26,2020-09-06,Number of tests,9530
2021-01-26,2020-09-06,Number of deaths,1
2021-01-26,2020-09-07,Number of cases,45
2021-01-26,2020-09-07,Number of tests,7288
2021-01-26,2020-09-07,Number of deaths,0
2021-01-26,2020-09-08,Number of cases,58
2021-01-26,2020-09-08,Number of tests,12053
2021-01-26,2020-09-08,Number of deaths,0
2021-01-26,2020-09-09,Number of cases,55
